iter	Passed	Remaining
566	22135	16903
567	22174	16865
568	22213	16825
569	22250	16785
570	22284	16742
571	22320	16701
572	22358	16661
573	22399	16623
574	22440	16586
575	22479	16547
576	22535	16520
577	22588	16492
578	22637	16460
579	22684	16426
580	22884	16503
581	22924	16464
582	22964	16425
583	23006	16388
584	23048	16350
585	23085	16309
586	23122	16268
587	23163	16230
588	23204	16192
589	23244	16152
590	23282	16112
591	23318	16070
592	23395	16057
593	23482	16050
594	23546	16027
595	23583	15985
596	23623	15946
597	23664	15908
598	23702	15867
599	23739	15826
600	23780	15787
601	23816	15745
602	23867	15713
603	23916	15680
604	23954	15640
605	23995	15601
606	24037	15562
607	24076	15523
608	24114	15482
609	24151	15441
610	24196	15405
611	24243	15370
612	24281	15329
613	24319	15288
614	24363	15252
615	24410	15217
616	24450	15177
617	24491	15138
618	24530	15098
619	24566	15057
620	24607	15018
621	24647	14978
622	24686	14938
623	24722	14897
624	24761	14856
625	24797	14815
626	24836	14775
627	24874	14734
628	24924	14701
629	24969	14664
630	25007	14624
631	25042	14581
632	25083	14543
633	25123	14503
634	25160	14462
635	25199	14422
636	25240	14383
637	25280	14343
638	25319	14304
639	25358	14264
640	25397	14223
641	25434	14183
642	25470	14141
643	25509	14101
644	25546	14060
645	25581	14018
646	25640	13989
647	25680	13949
648	25721	13910
649	25760	13871
650	25797	13830
651	25836	13790
652	25868	13746
653	25899	13702
654	25928	13656
655	25957	13612
656	25991	13569
657	26023	13525
658	26051	13480
659	26082	13436
660	26111	13391
661	26141	13347
662	26171	13303
663	26202	13259
664	26233	13215
665	26263	13171
666	26292	13126
667	26336	13089
668	26368	13046
669	26399	13002
670	26429	12958
671	26459	12914
672	26489	12870
673	26519	12827
674	26549	12782
675	26578	12738
676	26608	12694
677	26637	12650
678	26667	12607
679	26696	12563
680	26725	12518
681	26755	12475
682	26785	12431
683	26817	12389
684	26856	12350
685	26909	12317
686	26964	12285
687	27023	12254
688	27066	12217
689	27097	12174
690	27128	12131
691	27157	12087
692	27188	12044
693	27218	12001
694	27247	11957
695	27278	11914
696	27306	11870
697	27338	11828
698	27369	11785
699	27400	11743
700	27430	11699
701	27460	11656
702	27490	11614
703	27519	11570
704	27549	11527
705	27602	11494
706	27631	11451
707	27660	11408
708	27690	11365
709	27725	11324
710	27759	11283
711	27793	11242
712	27822	11199
713	27857	11158
714	27892	11118
715	27939	11082
716	27977	11042
717	28014	11002
718	28047	10961
719	28077	10919
720	28108	10877
721	28139	10834
722	28169	10792
723	28199	10750
724	28230	10707
725	28260	10665
726	28304	10628
727	28370	10599
728	28402	10558
729	28440	10519
730	28477	10479
731	28508	10437
732	28539	10395
733	28568	10353
734	28599	10311
735	28630	10269
736	28661	10227
737	28693	10186
738	28724	10144
739	28755	10103
740	28784	10061
741	28819	10020
742	28850	9979
743	28879	9937
744	28909	9895
745	28943	9854
746	28978	9814
747	29013	9774
748	29057	9737
749	29101	9700
750	29142	9662
751	29177	9622
752	29225	9586
753	29261	9546
754	29310	9511
755	29358	9475
756	29432	9448
757	29470	9408
758	29510	9370
759	29570	9337
760	29623	9303
761	29663	9264
762	29733	9235
763	29775	9197
764	29816	9159
765	29881	9128
766	29924	9090
767	29975	9055
768	30019	9017
769	30072	8982
770	30113	8944
771	30159	8907
772	30201	8869
773	30254	8833
774	30299	8796
775	30342	8758
776	30383	8720
777	30424	8681
778	30466	8643
779	30515	8606
780	30578	8574
781	30616	8535
782	30651	8494
783	30685	8454
784	30715	8412
785	30766	8376
786	30814	8339
787	30863	8303
788	30912	8266
789	30963	8230
790	31010	8193
791	31051	8154
792	31087	8115
793	31124	8075
794	31153	8033
795	31192	7994
796	31238	7956
797	31294	7921
798	31340	7884
799	31382	7845
800	31426	7807
801	31464	7768
802	31505	7729
803	31545	7690
804	31587	7651
805	31629	7613
806	31667	7573
807	31703	7533
808	31744	7494
809	31786	7456
810	31828	7417
811	31863	7377
812	31906	7338
813	31960	7303
814	31996	7263
815	32037	7224
816	32077	7185
817	32114	7145
818	32151	7105
819	32190	7066
820	32234	7027
821	32278	6989
822	32320	6951
823	32361	6912
824	32402	6873
825	32448	6835
826	32505	6799
827	32578	6767
828	32959	6798
829	33102	6779
830	33180	6747
831	33294	6722
832	33358	6687
833	33411	6650
834	33476	6615
835	33551	6581
836	33620	6547
837	33680	6511
838	33748	6476
839	33796	6437
840	33831	6396
841	33870	6355
842	33910	6315
843	33948	6274
844	33986	6234
845	34025	6193
846	34074	6155
847	34115	6114
848	34149	6073
849	34187	6033
850	34227	5992
851	34275	5953
852	34338	5917
853	34417	5884
854	34460	5844
855	34503	5804
856	34549	5764
857	34600	5726
858	34648	5687
859	34685	5646
860	34722	5605
861	34774	5567
862	34817	5527
863	34855	5486
864	34896	5446
865	34941	5406
866	34979	5365
867	35017	5325
868	35055	5284
869	35095	5244
870	35133	5203
871	35175	5163
872	35213	5122
873	35250	5081
874	35287	5041
875	35325	5000
876	35362	4959
877	35401	4919
878	35448	4879
879	35492	4839
880	35531	4799
881	35571	4759
882	35610	4718
883	35648	4677
884	35687	4637
885	35724	4596
886	35763	4556
887	35801	4515
888	35840	4474
889	35876	4434
890	35914	4393
891	35954	4353
892	35992	4312
893	36031	4272
894	36067	4231
895	36103	4190
896	36148	4150
897	36196	4111
